frame,joint,mpjpe_mm
32,0,12259.42064241021
32,1,12284.988695494614
32,2,12587.177838859674
32,3,12574.199838166176
32,4,10275.289594924732
32,5,2599.7871329559316
32,6,2561.491979487718
32,7,7841.735242339058
32,8,2491.4501324856906
32,9,7542.013329794595
32,10,2303.3198156675785
32,11,2825.3806931075897
32,12,2450.1912873993115
32,13,2673.4658949716263
32,14,2810.3949687627473
32,15,3072.8123475327043
32,16,2981.9505789307923
19,0,6484.367374467942
19,1,6565.317709338973
19,2,11794.350219545919
19,3,6982.343315568675
19,4,9479.279025206917
19,5,1434.0610154838191
19,6,1146.6711168744566
19,7,6652.1882599369965
19,8,1029.257436090188
19,9,6324.750856262044
19,10,1529.9731204599461
19,11,1991.0148434924909
19,12,1861.7350857580986
19,13,2001.730682939933
19,14,1885.2949075878776
19,15,2312.6066639778182
19,16,2029.4165419581052
23,0,665.3147938734303
23,1,6740.041726887358
23,2,8070.715582474122
23,3,1622.0562031624254
23,4,8197.074288680511
23,5,490.2753393063699
23,6,1024.3382394439584
23,7,1188.4464501420398
23,8,1273.0968972290618
23,9,273.05361481803806
23,10,451.9640894187478
23,11,673.2271243452218
23,12,501.00640873838967
23,13,690.0431165856257
23,14,714.7163523083028
23,15,1332.9479611707063
23,16,1191.1515955230955
30,0,7654.361519025492
30,1,7760.498557084492
30,2,8001.128821024739
30,3,7711.850907149165
30,4,8265.782283973953
30,5,503.3286659960711
30,6,1056.6231657630244
30,7,1102.1874844242884
30,8,1314.370476407445
30,9,331.2321089892153
30,10,417.26779127344673
30,11,649.6493397366714
30,12,465.08656620946846
30,13,580.6751692404681
30,14,500.24230093160054
30,15,1281.6867823816012
30,16,1105.878598400974
25,0,11748.27675013223
25,1,11838.799801650397
25,2,12039.738470172293
25,3,7267.961225372036
25,4,9675.098184011471
25,5,1805.353919823849
25,6,1615.7771745904888
25,7,6995.920412743482
25,8,1539.032441330495
25,9,6910.732115468405
25,10,1924.5067784929015
25,11,2251.264329573117
25,12,2033.2233759571777
25,13,2245.9503001887283
25,14,2212.422227003359
25,15,2497.4366161918347
25,16,2251.2581359618885
15,0,6485.160699532732
15,1,6547.83294867275
15,2,6755.086083209966
15,3,6931.954808296603
15,4,9476.94176984236
15,5,1409.3740429873103
15,6,1131.9302056573765
15,7,1474.4925673436883
15,8,1047.7758429204623
15,9,6359.137838593559
15,10,1505.5944791844963
15,11,1878.0318456840382
15,12,1773.321337183832
15,13,1916.480118817246
15,14,1820.7016747599348
15,15,2184.0220139373273
15,16,1931.9226758830653
4,0,7480.637224409349
4,1,7405.108286825038
4,2,7447.733025753028
4,3,2644.6401023570675
4,4,2493.07305143028
4,5,2282.7373951288255
4,6,1928.2173564734674
4,7,2427.7227988207555
4,8,1905.672487810064
4,9,2195.688596365046
4,10,1860.2055492734332
4,11,2279.044585088722
4,12,2011.6524077197091
4,13,2219.5384128943256
4,14,1672.482927118531
4,15,2682.0900815775844
4,16,2231.9016008423832
28,0,11920.38402810046
28,1,12010.556807576837
28,2,12300.407989160938
28,3,7727.972737409532
28,4,10240.448601390064
28,5,2117.6403220720035
28,6,1859.9182349150228
28,7,7006.138704257757
28,8,1553.033302146621
28,9,7201.877141165757
28,10,2056.3672899870653
28,11,2537.863912320616
28,12,2259.009470482392
28,13,2306.811172351766
28,14,2306.5680302302912
28,15,2784.714666620124
28,16,2501.3842081025277
10,0,6764.702062593743
10,1,6757.074332251269
10,2,6807.651632130738
10,3,1617.41018317147
10,4,7107.192447930041
10,5,513.5379220289005
10,6,996.0129492583033
10,7,1469.8385024907134
10,8,1400.4745447358432
10,9,778.1257887836437
10,10,484.19831775803164
10,11,693.9956587659518
10,12,528.1371765539884
10,13,866.5553764349461
10,14,850.2284087233758
10,15,1278.3903497000185
10,16,1365.4332127249645
1,0,7915.379958567097
1,1,7824.209450181225
1,2,8082.826135925118
1,3,3134.5681579493676
1,4,2890.047036228767
1,5,2705.040559500287
1,6,2282.6048491456277
1,7,2713.1759954928
1,8,2150.9797813195864
1,9,2608.275587655051
1,10,2166.9958354032665
1,11,2621.4916706065997
1,12,2286.5084109622203
1,13,2453.4752732961383
1,14,2020.972326094806
1,15,2883.055126605783
1,16,2724.648846386085
6,0,7207.775549433263
6,1,7137.973297222145
6,2,7149.1815584921405
6,3,7277.11456563578
6,4,1912.2321746118969
6,5,2088.303232258906
6,6,1868.5733432563695
6,7,2464.5733277070126
6,8,1999.9123235179627
6,9,2014.244697073734
6,10,1858.230372100948
6,11,2188.8602361405365
6,12,1979.7311713129561
6,13,2326.0602654024806
6,14,1684.2658594607633
6,15,2539.5151204037056
6,16,1977.5427755142302
34,0,12399.192657714257
34,1,12345.756433320399
34,2,12672.709933225651
34,3,12550.176565017575
34,4,2751.408787351605
34,5,2874.425540595651
34,6,2766.320646191984
34,7,7973.24740552444
34,8,2751.464054452091
34,9,7405.274272072682
34,10,2309.7195277256023
34,11,2913.7421716190324
34,12,2522.8698830372796
34,13,2901.980070129861
34,14,3111.0004034594012
34,15,3210.7610789966266
34,16,3278.380984913376
41,0,712.7223857371293
41,1,755.0649632401888
41,2,1178.8063112949324
41,3,7777.473492459211
41,4,8016.017464846808
41,5,495.53755586730136
41,6,995.0883705652946
41,7,1407.3550238650002
41,8,1368.1845531519414
41,9,503.6732851098768
41,10,331.37537385892216
41,11,703.3724633433571
41,12,489.11354574362974
41,13,778.852884624272
41,14,707.5191769986261
