frame,joint,mpjpe_mm_post_alignment
1,3,0.16184919955879867
1,4,0.17022631784819336
1,5,0.1922310585605761
1,6,0.07809728272118985
1,7,0.2901830382463538
1,8,0.2952747942738536
1,9,0.13207684139066145
1,10,0.31781432440732893
1,11,0.32384752099322844
1,12,0.23219027067979364
1,13,0.13328243999327832
1,14,0.19323715595658258
1,15,0.04165376063973137
1,16,0.15902997820228262
2,4,0.22912532055271836
2,5,0.17599643727092518
2,6,0.1061671389603879
2,7,0.34454514430289895
2,8,0.3346524166795809
2,9,0.13091503398927884
2,10,0.31971848651912355
2,11,0.33604232914976545
2,12,0.24098632211517812
2,13,0.1396553531472181
2,14,0.1998413162803459
2,15,0.036722465444483016
2,16,0.16130624827255358
3,3,0.1583523341181167
3,4,0.17254596756869603
3,5,0.22190384925213683
3,6,0.07440683138918722
3,7,0.28883276636002897
3,8,0.3029072929248858
3,9,0.14710496435307577
3,10,0.286712193005841
3,11,0.3247032542850083
3,12,0.226325998486516
3,13,0.0794367999297997
3,14,0.2053347152975606
3,15,0.1023688790206404
3,16,0.16479806912290254
4,3,0.16801436663386943
4,4,0.18090904351863737
4,5,0.2112921884647331
4,6,0.06477438222983409
4,7,0.2922116261182768
4,8,0.3043971826051907
4,9,0.15519259136509905
4,10,0.30514084357294524
4,11,0.3228558929545416
4,12,0.22723305804689992
4,13,0.08829978156518638
4,14,0.2055987101643867
4,15,0.10825417572272247
4,16,0.16577031719875998
5,4,0.24011492874322934
5,5,0.179038888147622
5,6,0.09911619544747335
5,7,0.3506085879158035
5,8,0.34246304831676516
5,9,0.170889422730382
5,10,0.3212317217102366
5,11,0.32615198873437445
5,12,0.23464322304368643
5,13,0.14645226560352254
5,14,0.17503026742710173
5,15,0.04205908257229805
5,16,0.18321545585783755
6,4,0.24839114782579857
6,5,0.17410348017413962
6,6,0.11691613196508555
6,7,0.3511478410662866
6,8,0.368417323020142
6,9,0.20465435076547456
6,10,0.30620649671584077
